<http://www.yso.fi/onto/yso/p39324>	deep learning
<http://www.yso.fi/onto/yso/p14545>	accident prevention
<http://www.yso.fi/onto/yso/p12083>	mariners
<http://www.yso.fi/onto/yso/p20821>	marine accidents
<http://www.yso.fi/onto/yso/p10406>	averages (traffic damages)
<http://www.yso.fi/onto/yso/p3422>	disasters
<http://www.yso.fi/onto/yso/p2616>	artificial intelligence
<http://www.yso.fi/onto/yso/p21846>	machine learning
<http://www.yso.fi/onto/yso/p12661>	accidents
<http://www.yso.fi/onto/yso/p7349>	safety and security
<http://www.yso.fi/onto/yso/p3133>	security analysis
<http://www.yso.fi/onto/yso/p2049>	maritime navigation
