<http://www.yso.fi/onto/yso/p813>	folkrepresentationer
<http://www.yso.fi/onto/yso/p3225>	val (samhälleliga händelser)
<http://www.yso.fi/onto/yso/p17977>	valsystem
<http://www.yso.fi/onto/yso/p13033>	könskvoter
<http://www.yso.fi/onto/yso/p2921>	religion och religioner
<http://www.yso.fi/onto/yso/p2399>	jämställdhet
<http://www.yso.fi/onto/yso/p6549>	val (kognition)
<http://www.yso.fi/onto/yso/p17310>	proportionalitet
<http://www.yso.fi/onto/yso/p24468>	HDI
<http://www.yso.fi/onto/yso/p742>	demokrati
<http://www.yso.fi/onto/yso/p7254>	feminism
<http://www.yso.fi/onto/yso/p16991>	kvinnor
<http://www.yso.fi/onto/yso/p12191>	representativ demokrati
