<http://www.yso.fi/onto/yso/p26059>	medlemskap i kyrkan
<http://www.yso.fi/onto/yso/p29362>	civilreligion
<http://www.yso.fi/onto/yso/p4074>	föräldrar
<http://www.yso.fi/onto/yso/p3937>	religiositet
<http://www.yso.fi/onto/yso/p28801>	religiös tradition
<http://www.yso.fi/onto/yso/p8835>	kyrkan (institution)
<http://www.yso.fi/onto/yso/p8834>	folkkyrka
<http://www.yso.fi/onto/yso/p8758>	lutherdom
<http://www.yso.fi/onto/yso/p14270>	kristlighet
<http://www.yso.fi/onto/yso/p3209>	erfarenheter
<http://www.yso.fi/onto/yso/p3370>	dop
