<http://www.yso.fi/onto/yso/p446>	vänsterpartier
<http://www.yso.fi/onto/yso/p13863>	kommunfullmäktige
<http://www.yso.fi/onto/yso/p216>	ideologier
<http://www.yso.fi/onto/yso/p8470>	hållbar utveckling
<http://www.yso.fi/onto/yso/p27123>	grön ekonomi
<http://www.yso.fi/onto/yso/p7519>	kommunalpolitik
<http://www.yso.fi/onto/yso/p3331>	gröna rörelsen
<http://www.yso.fi/onto/yso/p10083>	kommuner
<http://www.yso.fi/onto/yso/p7521>	kommunal ekonomi
<http://www.yso.fi/onto/yso/p28601>	cirkulär ekonomi
<http://www.yso.fi/onto/yso/p14162>	gröna
