<http://www.yso.fi/onto/yso/p1001>	intention
<http://www.yso.fi/onto/yso/p5319>	hund
<http://www.yso.fi/onto/yso/p24202>	hållbar konsumtion
<http://www.yso.fi/onto/yso/p8576>	konsumentbeteende
<http://www.yso.fi/onto/yso/p11782>	kvalitativ forskning
<http://www.yso.fi/onto/yso/p23085>	etiskhet
<http://www.yso.fi/onto/yso/p28108>	köpbeslut
<http://www.yso.fi/onto/yso/p21079>	etisk konsumtion
<http://www.yso.fi/onto/yso/p675>	sällskapsdjur
<http://www.yso.fi/onto/yso/p21278>	djurmat
<http://www.yso.fi/onto/yso/p10631>	enkätundersökning
