<http://www.yso.fi/onto/yso/p8542>	arbetskamratskap
<http://www.yso.fi/onto/yso/p38829>	covid-19
<http://www.yso.fi/onto/yso/p16262>	arbetsliv
<http://www.yso.fi/onto/yso/p10801>	distansarbete
<http://www.yso.fi/onto/yso/p9539>	arbetsförhållande (anställning)
<http://www.yso.fi/onto/yso/p8543>	arbetsgemenskaper
<http://www.yso.fi/onto/yso/p10899>	arbetsförhållanden (omständigheter)
<http://www.yso.fi/onto/yso/p10121>	pandemier
<http://www.yso.fi/onto/yso/p272>	organisationer
<http://www.yso.fi/onto/yso/p10631>	enkätundersökning
<http://www.yso.fi/onto/yso/p6140>	socialisation
