<http://www.yso.fi/onto/yso/p1067>	kritik
<http://www.yso.fi/onto/yso/p18770>	stadsbyggande
<http://www.yso.fi/onto/yso/p216>	ideologier
<http://www.yso.fi/onto/yso/p1044>	värderingar (uppfattningar)
<http://www.yso.fi/onto/yso/p8953>	nationalromantik
<http://www.yso.fi/onto/yso/p4299>	arkitekter
<http://www.yso.fi/onto/yso/p10115>	artiklar (publikationer)
<http://www.yso.fi/onto/yso/p8418>	åsikter
<http://www.yso.fi/onto/yso/p4489>	rationalism
<http://www.yso.fi/onto/yso/p1150>	litterära verk
<http://www.yso.fi/onto/yso/p2267>	begrepp
<http://www.yso.fi/onto/yso/p8025>	arkitektur
<http://www.yso.fi/onto/yso/p127>	teorier
<http://www.yso.fi/onto/yso/p5001>	modernism
