<http://www.yso.fi/onto/yso/p2357>	barn (familjemedlemmar)
<http://www.yso.fi/onto/yso/p22065>	hushållsvetenskap
<http://www.yso.fi/onto/yso/p2571>	högtidsdagar
<http://www.yso.fi/onto/yso/p7037>	tradition
<http://www.yso.fi/onto/yso/p4865>	bakning
<http://www.yso.fi/onto/yso/p28042>	informellt lärande
<http://www.yso.fi/onto/yso/p8562>	hushåll
<http://www.yso.fi/onto/yso/p2846>	matlagning
<http://www.yso.fi/onto/yso/p11782>	kvalitativ forskning
<http://www.yso.fi/onto/yso/p13735>	barndom
<http://www.yso.fi/onto/yso/p21870>	sociokulturella faktorer
