<http://www.yso.fi/onto/yso/p13269>	diplomati
<http://www.yso.fi/onto/yso/p2551>	makt
<http://www.yso.fi/onto/yso/p5208>	internationell politik
<http://www.yso.fi/onto/yso/p14364>	stormaktspolitik
<http://www.yso.fi/onto/yso/p3223>	röstningsbeteende
<http://www.yso.fi/onto/yso/p1772>	jämförande forskning
<http://www.yso.fi/onto/yso/p2159>	intressesfärer
<http://www.yso.fi/onto/yso/p21288>	inflytande
<http://www.yso.fi/onto/yso/p661>	handelspolitik
<http://www.yso.fi/onto/yso/p28688>	realism (politik)
<http://www.yso.fi/onto/yso/p8772>	statskunskap
