<http://www.yso.fi/onto/yso/p454>	politik
<http://www.yso.fi/onto/yso/p5619>	attityder
<http://www.yso.fi/onto/yso/p1041>	förebilder
<http://www.yso.fi/onto/yso/p2646>	politiskt deltagande
<http://www.yso.fi/onto/yso/p7695>	politiska ledare
<http://www.yso.fi/onto/yso/p13033>	könskvoter
<http://www.yso.fi/onto/yso/p11478>	politisk verksamhet
<http://www.yso.fi/onto/yso/p17567>	jämlikhet
<http://www.yso.fi/onto/yso/p2399>	jämställdhet
<http://www.yso.fi/onto/yso/p6365>	kvinnans ställning
<http://www.yso.fi/onto/yso/p957>	representation (aktivitet)
<http://www.yso.fi/onto/yso/p16991>	kvinnor
<http://www.yso.fi/onto/yso/p3182>	politiker
<http://www.yso.fi/onto/yso/p10727>	deltagande
