<http://www.yso.fi/onto/yso/p11166>	människosyn
<http://www.yso.fi/onto/yso/p3830>	teologi
<http://www.yso.fi/onto/yso/p1275>	själavård
<http://www.yso.fi/onto/yso/p159>	läroböcker
<http://www.yso.fi/onto/yso/p10555>	gudsuppfattningar
<http://www.yso.fi/onto/yso/p13849>	Gud
<http://www.yso.fi/onto/yso/p5253>	förlåtelse
<http://www.yso.fi/onto/yso/p5414>	synd
<http://www.yso.fi/onto/yso/p8113>	litteratur
<http://www.yso.fi/onto/yso/p4214>	skam
<http://www.yso.fi/onto/yso/p7505>	skuld (orsak)
<http://www.yso.fi/onto/yso/p7063>	nåd
<http://www.yso.fi/onto/yso/p5413>	bikt
<http://www.yso.fi/onto/yso/p17283>	samlingsverk
<http://www.yso.fi/onto/yso/p1538>	praktisk teologi
<http://www.yso.fi/onto/yso/p4621>	ångest
