<http://www.yso.fi/onto/yso/p14396>	mänsklighet (egenskap)
<http://www.yso.fi/onto/yso/p1632>	psykologi
<http://www.yso.fi/onto/yso/p5131>	kärlek
<http://www.yso.fi/onto/yso/p9000>	vänskap
<http://www.yso.fi/onto/yso/p9042>	personrelationer
<http://www.yso.fi/onto/yso/p2619>	robotar
<http://www.yso.fi/onto/yso/p2616>	artificiell intelligens
<http://www.yso.fi/onto/yso/p1065>	närläsning
<http://www.yso.fi/onto/yso/p15527>	science fiction-litteratur
<http://www.yso.fi/onto/yso/p1056>	filosofi
<http://www.yso.fi/onto/yso/p2550>	maktstrukturer
<http://www.yso.fi/onto/yso/p10482>	moralisk utveckling
