<http://www.yso.fi/onto/yso/p3295>	visioner
<http://www.yso.fi/onto/yso/p6007>	tänkande
<http://www.yso.fi/onto/yso/p554>	ledarskap (verksamhetsledning)
<http://www.yso.fi/onto/yso/p6895>	berättande
<http://www.yso.fi/onto/yso/p4632>	strategier
<http://www.yso.fi/onto/yso/p20654>	helhetsarkitektur
<http://www.yso.fi/onto/yso/p13653>	strategisk planering
<http://www.yso.fi/onto/yso/p3210>	erfarande
<http://www.yso.fi/onto/yso/p24882>	kundupplevelse
<http://www.yso.fi/onto/yso/p8025>	arkitektur
<http://www.yso.fi/onto/yso/p1397>	konsumenter
<http://www.yso.fi/onto/yso/p3128>	företag
