<http://www.yso.fi/onto/yso/p20827>	heteronormativitet
<http://www.yso.fi/onto/yso/p20282>	queer-forskning
<http://www.yso.fi/onto/yso/p10647>	mångkulturalism
<http://www.yso.fi/onto/yso/p2551>	makt
<http://www.yso.fi/onto/yso/p24107>	flickskap
<http://www.yso.fi/onto/yso/p6423>	utseende
<http://www.yso.fi/onto/yso/p3594>	kläder
<http://www.yso.fi/onto/yso/p10645>	interkulturalism
<http://www.yso.fi/onto/yso/p20639>	performativitet
<http://www.yso.fi/onto/yso/p7196>	flickor
<http://www.yso.fi/onto/yso/p8642>	främlingsfientlighet
<http://www.yso.fi/onto/yso/p608>	rasism
<http://www.yso.fi/onto/yso/p9743>	identitet (självbild)
<http://www.yso.fi/onto/yso/p4732>	mode
<http://www.yso.fi/onto/yso/p21065>	feministisk forskning
<http://www.yso.fi/onto/yso/p6165>	invandrare
