<http://www.yso.fi/onto/yso/p8838>	dispersioner (blandningar)
<http://www.yso.fi/onto/yso/p5029>	kvalitet
<http://www.yso.fi/onto/yso/p3821>	beläggning (arbete)
<http://www.yso.fi/onto/yso/p8691>	egenskaper
<http://www.yso.fi/onto/yso/p19495>	förpackningsindustri
<http://www.yso.fi/onto/yso/p14917>	pappersprodukter
<http://www.yso.fi/onto/yso/p711>	biomaterial
<http://www.yso.fi/onto/yso/p8043>	förpackningsmaterial
<http://www.yso.fi/onto/yso/p38308>	hinder
<http://www.yso.fi/onto/yso/p8522>	papper
<http://www.yso.fi/onto/yso/p5929>	förpackningar
