<http://www.yso.fi/onto/yso/p5207>	rauhantutkimus
<http://www.yso.fi/onto/yso/p8773>	politiikantutkimus
<http://www.yso.fi/onto/yso/p5208>	kansainvälinen politiikka
<http://www.yso.fi/onto/yso/p12350>	humanitaarinen oikeus
<http://www.yso.fi/onto/yso/p3843>	avustustoiminta
<http://www.yso.fi/onto/yso/p7946>	konfliktit
<http://www.yso.fi/onto/yso/p40>	sotatoimet
<http://www.yso.fi/onto/yso/p322>	kansainväliset sopimukset
<http://www.yso.fi/onto/yso/p4208>	siviiliväestö
<http://www.yso.fi/onto/yso/p16391>	ihmisoikeusloukkaukset
<http://www.yso.fi/onto/yso/p17849>	ihmisoikeuspolitiikka
