<http://www.yso.fi/onto/yso/p20814>	Bolognan prosessi
<http://www.yso.fi/onto/yso/p16942>	tekniset tieteet
<http://www.yso.fi/onto/yso/p5622>	akkreditointi
<http://www.yso.fi/onto/yso/p15768>	arviointimenetelmät
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p2720>	laadunvalvonta
<http://www.yso.fi/onto/yso/p2725>	laadunvarmistus
<http://www.yso.fi/onto/yso/p6253>	itsearviointi
<http://www.yso.fi/onto/yso/p1030>	korkeakoulut
<http://www.yso.fi/onto/yso/p20264>	opinto-ohjelmat
<http://www.yso.fi/onto/yso/p11960>	oppimistavoitteet
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
