<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p16544>	koulumatkat
<http://www.yso.fi/onto/yso/p649>	liikkuminen
<http://www.yso.fi/onto/yso/p13263>	itsenäisyys
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p10409>	pyöräily
<http://www.yso.fi/onto/yso/p3706>	kävely
<http://www.yso.fi/onto/yso/p15696>	koulukuljetus
<http://www.yso.fi/onto/yso/p14074>	elinympäristö
<http://www.yso.fi/onto/yso/p16289>	hyötyliikunta
<http://www.yso.fi/onto/yso/p19660>	kansainvälinen vertailu
