<http://www.yso.fi/onto/yso/p6182>	lääkärit
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p10140>	professionalismi
<http://www.yso.fi/onto/yso/p9451>	humanismi
<http://www.yso.fi/onto/yso/p24238>	lääketieteellinen etiikka
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p7903>	innovaatiot
<http://www.yso.fi/onto/yso/p26471>	opintojaksot
<http://www.yso.fi/onto/yso/p5029>	laatu
<http://www.yso.fi/onto/yso/p24064>	kompetenssi
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
