<http://www.yso.fi/onto/yso/p9270>	kurssit
<http://www.yso.fi/onto/yso/p1246>	korkeakouluopetus
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
<http://www.yso.fi/onto/yso/p14260>	projektityö
<http://www.yso.fi/onto/yso/p21989>	työelämävalmiudet
<http://www.yso.fi/onto/yso/p23615>	toteutus
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p1913>	menetelmät
<http://www.yso.fi/onto/yso/p668>	raportointi
<http://www.yso.fi/onto/yso/p13335>	harjoitukset
<http://www.yso.fi/onto/yso/p7549>	molekyylibiologia
<http://www.yso.fi/onto/yso/p17991>	tutkimusprojektit
