<http://www.yso.fi/onto/yso/p5462>	tietotekniikka
<http://www.yso.fi/onto/yso/p2339>	teknologia
<http://www.yso.fi/onto/yso/p5260>	opetuskäyttö
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p3396>	maailmanlaajuiset ongelmat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p23070>	langaton tekniikka
<http://www.yso.fi/onto/yso/p7196>	tytöt
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p4834>	mobiililaitteet
<http://www.yso.fi/onto/yso/p17004>	kehitysmaat
