<http://www.yso.fi/onto/yso/p2890>	tulevaisuudentutkimus
<http://www.yso.fi/onto/yso/p817>	tulevaisuus
<http://www.yso.fi/onto/yso/p2011>	tietoyhteiskunta
<http://www.yso.fi/onto/yso/p1586>	tekniikka (tieteet)
<http://www.yso.fi/onto/yso/p2123>	kehitys
<http://www.yso.fi/onto/yso/p11099>	riskit
<http://www.yso.fi/onto/yso/p17353>	ennakointi
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p2348>	biotekniikka
<http://www.yso.fi/onto/yso/p11463>	nanotekniikka
<http://www.yso.fi/onto/yso/p17994>	geenitekniikka
