<http://www.yso.fi/onto/yso/p2240>	tiede
<http://www.yso.fi/onto/yso/p2011>	tietoyhteiskunta
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p16438>	kontrollipolitiikka
<http://www.yso.fi/onto/yso/p5530>	elintavat
<http://www.yso.fi/onto/yso/p4176>	tarpeet
<http://www.yso.fi/onto/yso/p13929>	alkoholi (päihteet)
<http://www.yso.fi/onto/yso/p8391>	alkoholikulttuuri
<http://www.yso.fi/onto/yso/p19612>	alkoholipolitiikka
<http://www.yso.fi/onto/yso/p6204>	raittiustyö
<http://www.yso.fi/onto/yso/p1657>	vaikuttaminen
<http://www.yso.fi/onto/yso/p2123>	kehitys
