<http://www.yso.fi/onto/yso/p2240>	tiede (ilmiöt)
<http://www.yso.fi/onto/yso/p2011>	tietoyhteiskunta
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p2371>	laulut
<http://www.yso.fi/onto/yso/p2370>	juomalaulut
<http://www.yso.fi/onto/yso/p2428>	laulaminen
<http://www.yso.fi/onto/yso/p2170>	kuorot
<http://www.yso.fi/onto/yso/p5165>	isänmaallisuus
<http://www.yso.fi/onto/yso/p1821>	kansallisuusaate
<http://www.yso.fi/onto/yso/p13929>	alkoholi (nautintoaineet)
<http://www.yso.fi/onto/yso/p8391>	alkoholikulttuuri
