<http://www.yso.fi/onto/yso/p8450>	tietopalvelu
<http://www.yso.fi/onto/yso/p2787>	kirjastot
<http://www.yso.fi/onto/yso/p3246>	kirjastonhoitajat
<http://www.yso.fi/onto/yso/p3249>	informaatikot
<http://www.yso.fi/onto/yso/p23>	neuvonta
<http://www.yso.fi/onto/yso/p14418>	roolit (odotettu käyttäytyminen)
<http://www.yso.fi/onto/yso/p838>	palvelut
<http://www.yso.fi/onto/yso/p3929>	tehtävät
<http://www.yso.fi/onto/yso/p1068>	tekstianalyysi
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p4511>	tulkinta
