<http://www.yso.fi/onto/yso/p4523>	tutkijat
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p5581>	perustutkimus
<http://www.yso.fi/onto/yso/p415>	tutkimusmenetelmät
<http://www.yso.fi/onto/yso/p17111>	haastattelut
<http://www.yso.fi/onto/yso/p10632>	haastattelututkimus
<http://www.yso.fi/onto/yso/p1969>	palkkajärjestelmät
<http://www.yso.fi/onto/yso/p5029>	laatu
<http://www.yso.fi/onto/yso/p1655>	vaikuttavuus
<http://www.yso.fi/onto/yso/p2240>	tiede (ilmiöt)
<http://www.yso.fi/onto/yso/p1246>	korkeakouluopetus
<http://www.yso.fi/onto/yso/p10895>	yliopistot
