<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
<http://www.yso.fi/onto/yso/p15358>	suurvalta-aika
<http://www.yso.fi/onto/yso/p6315>	sääty-yhteiskunta
<http://www.yso.fi/onto/yso/p2550>	valtarakenteet
<http://www.yso.fi/onto/yso/p15286>	poliittinen historia
<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p4544>	mikrohistoria
<http://www.yso.fi/onto/yso/p7480>	oikeushistoria
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p3574>	raha
<http://www.yso.fi/onto/yso/p10493>	naishistoria
