<http://www.yso.fi/onto/yso/p2746>	kasvatusfilosofia
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p10824>	dialogisuus
<http://www.yso.fi/onto/yso/p12736>	lukiolaiset
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p16897>	dialoginen analyysi
<http://www.yso.fi/onto/yso/p20531>	dialoginen filosofia
<http://www.yso.fi/onto/yso/p3517>	metafora
<http://www.yso.fi/onto/yso/p1050>	opettaja-oppilassuhde
<http://www.yso.fi/onto/yso/p7401>	lukio
