<http://www.yso.fi/onto/yso/p15485>	kehitysalueet
<http://www.yso.fi/onto/yso/p7301>	rakennemuutos
<http://www.yso.fi/onto/yso/p8958>	puolueet
<http://www.yso.fi/onto/yso/p3042>	elinkeinopolitiikka
<http://www.yso.fi/onto/yso/p1468>	aluepolitiikka
<http://www.yso.fi/onto/yso/p2978>	hallitukset (valtiot)
<http://www.yso.fi/onto/yso/p13777>	maaseutu
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
<http://www.yso.fi/onto/yso/p5854>	jälleenrakentaminen
<http://www.yso.fi/onto/yso/p6119>	muuttoliike
<http://www.yso.fi/onto/yso/p10881>	maatalouspolitiikka
<http://www.yso.fi/onto/yso/p10879>	maaseutupolitiikka
<http://www.yso.fi/onto/yso/p4503>	maatalous
<http://www.yso.fi/onto/yso/p998>	teollisuus
<http://www.yso.fi/onto/yso/p657>	ulkomaankauppa
<http://www.yso.fi/onto/yso/p6357>	työllisyys
<http://www.yso.fi/onto/yso/p2275>	aluekehitys
<http://www.yso.fi/onto/yso/p1780>	historia
