<http://www.yso.fi/onto/yso/p14285>	huippu-urheilu
<http://www.yso.fi/onto/yso/p9778>	yhteiskunta
<http://www.yso.fi/onto/yso/p3867>	globalisaatio
<http://www.yso.fi/onto/yso/p3166>	etiikka
<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p11099>	riskit
<http://www.yso.fi/onto/yso/p169>	vilppi
<http://www.yso.fi/onto/yso/p5571>	vedonlyönti
<http://www.yso.fi/onto/yso/p5674>	doping
<http://www.yso.fi/onto/yso/p2555>	talous
<http://www.yso.fi/onto/yso/p21206>	uhat
<http://www.yso.fi/onto/yso/p67>	väkivalta
<http://www.yso.fi/onto/yso/p3351>	kansallinen identiteetti
<http://www.yso.fi/onto/yso/p16056>	uhrit
