<http://www.yso.fi/onto/yso/p21717>	tohtorikoulutus
<http://www.yso.fi/onto/yso/p11614>	väitöskirjat
<http://www.yso.fi/onto/yso/p1548>	julkaisut
<http://www.yso.fi/onto/yso/p2700>	julkaisutoiminta
<http://www.yso.fi/onto/yso/p10895>	yliopistot
<http://www.yso.fi/onto/yso/p1406>	rahoitus
<http://www.yso.fi/onto/yso/p2752>	aikataulut
<http://www.yso.fi/onto/yso/p2880>	kieli
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taiteet ja media)
<http://www.yso.fi/onto/yso/p5103>	oppimisprosessi
<http://www.yso.fi/onto/yso/p13504>	työprosessit
