<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p8586>	opintomenestys
<http://www.yso.fi/onto/yso/p2607>	muisti (kognitio)
<http://www.yso.fi/onto/yso/p9105>	tarkkaavaisuus
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p6006>	ongelmanratkaisu
<http://www.yso.fi/onto/yso/p24012>	liikkumattomuus
<http://www.yso.fi/onto/yso/p15765>	koululiikunta
