<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p6140>	sosialisaatio
<http://www.yso.fi/onto/yso/p3313>	elämänkaari
<http://www.yso.fi/onto/yso/p4012>	ikäkaudet
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p16544>	koulumatkat
<http://www.yso.fi/onto/yso/p30215>	työmatkat (matkustus)
<http://www.yso.fi/onto/yso/p37743>	työmatkat (työpaikalle)
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p8760>	elämäntapa
<http://www.yso.fi/onto/yso/p13719>	seurantatutkimus
