<http://www.yso.fi/onto/yso/p4728>	hiilidioksidi
<http://www.yso.fi/onto/yso/p13222>	metaani
<http://www.yso.fi/onto/yso/p7534>	metsänhoito
<http://www.yso.fi/onto/yso/p4729>	kasvihuonekaasut
<http://www.yso.fi/onto/yso/p1861>	metsätalous
<http://www.yso.fi/onto/yso/p5454>	metsät
<http://www.yso.fi/onto/yso/p8786>	maanmuokkaus
<http://www.yso.fi/onto/yso/p10938>	lannoitus
<http://www.yso.fi/onto/yso/p14322>	hakkuutähteet
<http://www.yso.fi/onto/yso/p1675>	maaperä
<http://www.yso.fi/onto/yso/p13847>	puusto
<http://www.yso.fi/onto/yso/p2695>	taseet (kirjanpito)
<http://www.yso.fi/onto/yso/p239>	kaasut
<http://www.yso.fi/onto/yso/p5853>	hakkuut
<http://www.yso.fi/onto/yso/p14735>	puunkorjuu
