<http://www.yso.fi/onto/yso/p25083>	iPad
<http://www.yso.fi/onto/yso/p4781>	opiskelu
<http://www.yso.fi/onto/yso/p3597>	digitaalinen oppimateriaali
<http://www.yso.fi/onto/yso/p20264>	opinto-ohjelmat
<http://www.yso.fi/onto/yso/p22354>	digitaaliset kirjastot
<http://www.yso.fi/onto/yso/p7797>	e-kirjat
<http://www.yso.fi/onto/yso/p469>	lääketiede
<http://www.yso.fi/onto/yso/p16486>	opiskelijat
<http://www.yso.fi/onto/yso/p4418>	opetusteknologia
<http://www.yso.fi/onto/yso/p17832>	käyttöönotto
<http://www.yso.fi/onto/yso/p17867>	tietokoneavusteinen opetus
