<http://www.yso.fi/onto/yso/p5104>	oppimispäiväkirjat
<http://www.yso.fi/onto/yso/p22304>	wikit
<http://www.yso.fi/onto/yso/p18588>	kehitysbiologia
<http://www.yso.fi/onto/yso/p9270>	kurssit
<http://www.yso.fi/onto/yso/p26951>	oppimisalustat
<http://www.yso.fi/onto/yso/p21841>	verkkokeskustelu
<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p16193>	sosiaalinen oppiminen
<http://www.yso.fi/onto/yso/p23563>	reflektio
<http://www.yso.fi/onto/yso/p1236>	palaute
<http://www.yso.fi/onto/yso/p9583>	ohjeet
