<http://www.yso.fi/onto/yso/p15460>	metsävarat
<http://www.yso.fi/onto/yso/p3927>	tietojärjestelmät
<http://www.yso.fi/onto/yso/p11327>	hyödyntäminen
<http://www.yso.fi/onto/yso/p9047>	ylläpito
<http://www.yso.fi/onto/yso/p1736>	käyttö
<http://www.yso.fi/onto/yso/p11083>	metsänomistajat
<http://www.yso.fi/onto/yso/p2961>	tiedonhankinta
<http://www.yso.fi/onto/yso/p16922>	elinkaari
<http://www.yso.fi/onto/yso/p261>	tieto
<http://www.yso.fi/onto/yso/p838>	palvelut
<http://www.yso.fi/onto/yso/p8450>	tietopalvelu
<http://www.yso.fi/onto/yso/p17785>	puukauppa
<http://www.yso.fi/onto/yso/p23511>	metsäpalvelut
<http://www.yso.fi/onto/yso/p1863>	metsäsuunnittelu
