<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p316>	leikki (toiminta)
<http://www.yso.fi/onto/yso/p6915>	leikki-ikäiset
<http://www.yso.fi/onto/yso/p282>	päiväkodit
<http://www.yso.fi/onto/yso/p13673>	pihat
<http://www.yso.fi/onto/yso/p1650>	varhaiskasvatus
<http://www.yso.fi/onto/yso/p14074>	elinympäristö
<http://www.yso.fi/onto/yso/p2125>	lapsen kehitys
<http://www.yso.fi/onto/yso/p24478>	motoriset taidot
<http://www.yso.fi/onto/yso/p4074>	vanhemmat
<http://www.yso.fi/onto/yso/p5029>	laatu
