<http://www.yso.fi/onto/yso/p15998>	avoin korkeakoulu
<http://www.yso.fi/onto/yso/p10855>	avoin yliopisto
<http://www.yso.fi/onto/yso/p3402>	motiivit
<http://www.yso.fi/onto/yso/p820>	odotukset
<http://www.yso.fi/onto/yso/p15999>	avoin ammattikorkeakoulu
<http://www.yso.fi/onto/yso/p16486>	opiskelijat
<http://www.yso.fi/onto/yso/p4781>	opiskelu
<http://www.yso.fi/onto/yso/p8880>	hyöty
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p795>	vaikutukset
<http://www.yso.fi/onto/yso/p3209>	kokemukset
