<http://www.yso.fi/onto/yso/p21685>	musiikintutkimus
<http://www.yso.fi/onto/yso/p14569>	musiikinhistoria
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p1822>	nationalismi
<http://www.yso.fi/onto/yso/p4879>	fennomania
<http://www.yso.fi/onto/yso/p4880>	suomalaisuus
<http://www.yso.fi/onto/yso/p16885>	kansalaisyhteiskunta
<http://www.yso.fi/onto/yso/p4301>	laulujuhlat
<http://www.yso.fi/onto/yso/p1482>	musiikkijuhlat
<http://www.yso.fi/onto/yso/p25612>	Kansanvalistusseuran laulu- ja soittojuhlat
<http://www.yso.fi/onto/yso/p3351>	kansallinen identiteetti
<http://www.yso.fi/onto/yso/p25509>	historiakulttuuri
<http://www.yso.fi/onto/yso/p1821>	kansallisuusaate
