<http://www.yso.fi/onto/yso/p27172>	fyysinen toimintakyky
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p20083>	mittausmenetelmät
<http://www.yso.fi/onto/yso/p17497>	seuranta
<http://www.yso.fi/onto/yso/p1236>	palaute
<http://www.yso.fi/onto/yso/p15765>	koululiikunta
<http://www.yso.fi/onto/yso/p11770>	kouluterveydenhuolto
<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p14978>	edistäminen
<http://www.yso.fi/onto/yso/p15095>	terveysliikunta
