<http://www.yso.fi/onto/yso/p12902>	hyvinvointiteknologia
<http://www.yso.fi/onto/yso/p28322>	biohakkerointi
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p5748>	ravitsemus
<http://www.yso.fi/onto/yso/p337>	palautuminen
<http://www.yso.fi/onto/yso/p14804>	stressinhallinta
<http://www.yso.fi/onto/yso/p4736>	motivointi
<http://www.yso.fi/onto/yso/p12732>	terveyden edistäminen
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p7384>	fyysinen kunto
<http://www.yso.fi/onto/yso/p26412>	harjoittelu
