<http://www.yso.fi/onto/yso/p15095>	terveysliikunta
<http://www.yso.fi/onto/yso/p14978>	edistäminen
<http://www.yso.fi/onto/yso/p3628>	monitorointi
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p5530>	elintavat
<http://www.yso.fi/onto/yso/p24016>	liikuntateknologia
<http://www.yso.fi/onto/yso/p1629>	luotettavuus
<http://www.yso.fi/onto/yso/p22305>	Web 2.0
<http://www.yso.fi/onto/yso/p20774>	sosiaalinen media
<http://www.yso.fi/onto/yso/p27414>	mobiilisovellukset
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p183>	tutkimus
