<http://www.yso.fi/onto/yso/p5496>	biodiversiteetti
<http://www.yso.fi/onto/yso/p5497>	luonnon monimuotoisuus
<http://www.yso.fi/onto/yso/p11>	luonnonsuojelu
<http://www.yso.fi/onto/yso/p1861>	metsätalous
<http://www.yso.fi/onto/yso/p4257>	kannattavuus
<http://www.yso.fi/onto/yso/p20596>	kustannustehokkuus
<http://www.yso.fi/onto/yso/p7534>	metsänhoito
<http://www.yso.fi/onto/yso/p27050>	metsänkäsittely
<http://www.yso.fi/onto/yso/p6072>	harvennus
<http://www.yso.fi/onto/yso/p19196>	talousmetsät
<http://www.yso.fi/onto/yso/p4574>	luonnonhoito
<http://www.yso.fi/onto/yso/p24880>	kestävä metsätalous
<http://www.yso.fi/onto/yso/p3356>	sopimukset
<http://www.yso.fi/onto/yso/p11083>	metsänomistajat
<http://www.yso.fi/onto/yso/p16188>	vapaaehtoisuus
