<http://www.yso.fi/onto/yso/p16427>	urheiluhallinto
<http://www.yso.fi/onto/yso/p9113>	valtionhallinto
<http://www.yso.fi/onto/yso/p14977>	liikuntatiede
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p17567>	yhdenvertaisuus
<http://www.yso.fi/onto/yso/p2399>	tasa-arvo
<http://www.yso.fi/onto/yso/p3093>	erityisliikunta
<http://www.yso.fi/onto/yso/p5871>	liikuntapaikat
<http://www.yso.fi/onto/yso/p17353>	ennakointi
<http://www.yso.fi/onto/yso/p25099>	organisaatiomuutokset
