<http://www.yso.fi/onto/yso/p978>	talouspolitiikka
<http://www.yso.fi/onto/yso/p16572>	markkinatalous
<http://www.yso.fi/onto/yso/p3863>	talousteoriat
<http://www.yso.fi/onto/yso/p2849>	taloustieteet
<http://www.yso.fi/onto/yso/p6149>	suhdannevaihtelut
<http://www.yso.fi/onto/yso/p6172>	taloudelliset kriisit
<http://www.yso.fi/onto/yso/p25503>	finanssikriisit
<http://www.yso.fi/onto/yso/p6174>	lama
<http://www.yso.fi/onto/yso/p942>	julkinen talous
<http://www.yso.fi/onto/yso/p26330>	makrotalous
<http://www.yso.fi/onto/yso/p14651>	euro
<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
