<http://www.yso.fi/onto/yso/p6331>	eugeniikka
<http://www.yso.fi/onto/yso/p21376>	rodut
<http://www.yso.fi/onto/yso/p2671>	väestöpolitiikka
<http://www.yso.fi/onto/yso/p5147>	perinnöllisyystiede
<http://www.yso.fi/onto/yso/p3879>	biologinen antropologia
<http://www.yso.fi/onto/yso/p1560>	antropologia
<http://www.yso.fi/onto/yso/p469>	lääketiede
<http://www.yso.fi/onto/yso/p16332>	mielisairaanhoito
<http://www.yso.fi/onto/yso/p3049>	kehitysvammahuolto
<http://www.yso.fi/onto/yso/p6418>	vammaisuus
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
