<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p14803>	elämänfilosofia
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p3924>	liikuntakulttuuri
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p6415>	uskonto (uskominen)
<http://www.yso.fi/onto/yso/p232>	sosiaalidarwinismi
<http://www.yso.fi/onto/yso/p5165>	isänmaallisuus
<http://www.yso.fi/onto/yso/p1821>	kansallisuusaate
<http://www.yso.fi/onto/yso/p3351>	kansallinen identiteetti
<http://www.yso.fi/onto/yso/p14285>	huippu-urheilu
<http://www.yso.fi/onto/yso/p18818>	kilpaurheilu
<http://www.yso.fi/onto/yso/p15764>	liikuntakasvatus
<http://www.yso.fi/onto/yso/p3923>	ruumiinkulttuuri
