<http://www.yso.fi/onto/yso/p5740>	vähemmistöt
<http://www.yso.fi/onto/yso/p10252>	vähemmistöpolitiikka
<http://www.yso.fi/onto/yso/p5739>	etniset vähemmistöt
<http://www.yso.fi/onto/yso/p1816>	kansalliset vähemmistöt
<http://www.yso.fi/onto/yso/p9309>	kielelliset vähemmistöt
<http://www.yso.fi/onto/yso/p314>	virolaiset
<http://www.yso.fi/onto/yso/p7755>	lutsit
<http://www.yso.fi/onto/yso/p313>	leivut
<http://www.yso.fi/onto/yso/p15445>	viron kieli
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p1780>	historia
