<http://www.yso.fi/onto/yso/p7301>	rakennemuutos
<http://www.yso.fi/onto/yso/p2954>	yhteiskunnallinen muutos
<http://www.yso.fi/onto/yso/p9763>	yhteiskuntakehitys
<http://www.yso.fi/onto/yso/p2555>	talous
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p1447>	alueelliset vaikutukset
<http://www.yso.fi/onto/yso/p7396>	alueelliset erot
<http://www.yso.fi/onto/yso/p2275>	aluekehitys
<http://www.yso.fi/onto/yso/p6178>	aluetalous
<http://www.yso.fi/onto/yso/p4584>	taloudellinen kehitys
<http://www.yso.fi/onto/yso/p2123>	kehitys
<http://www.yso.fi/onto/yso/p8397>	aluetutkimus
<http://www.yso.fi/onto/yso/p879>	lähialueet
<http://www.yso.fi/onto/yso/p6336>	lähialueyhteistyö
