<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p2747>	objectives
<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p252>	mobility
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p22622>	ability to move
<http://www.yso.fi/onto/yso/p2762>	health
<http://www.yso.fi/onto/yso/p12300>	home ranges (biology)
<http://www.yso.fi/onto/yso/p2901>	hobbies
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p3313>	course of life
