<http://www.yso.fi/onto/yso/p22643>	mobile services
<http://www.yso.fi/onto/yso/p3010>	banking services
<http://www.yso.fi/onto/yso/p1397>	consumers
<http://www.yso.fi/onto/yso/p8576>	consumer behaviour
<http://www.yso.fi/onto/yso/p16214>	adoption (cognition)
<http://www.yso.fi/onto/yso/p17832>	introduction (implementation)
<http://www.yso.fi/onto/yso/p1007>	value (properties)
<http://www.yso.fi/onto/yso/p8531>	customership
<http://www.yso.fi/onto/yso/p13419>	committing oneself
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p105098>	South Africa
