<http://www.yso.fi/onto/yso/p6858>	liikuntamatkailu
<http://www.yso.fi/onto/yso/p19247>	liikuntasosiologia
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
<http://www.yso.fi/onto/yso/p6939>	vapaa-ajantoiminnat
<http://www.yso.fi/onto/yso/p3917>	matkailu
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p16596>	matkailijat
<http://www.yso.fi/onto/yso/p3402>	motiivit
<http://www.yso.fi/onto/yso/p16315>	luontosuhde
<http://www.yso.fi/onto/yso/p9695>	hermeneutiikka
