<http://www.yso.fi/onto/yso/p1631>	kielitiede
<http://www.yso.fi/onto/yso/p9540>	tekstilajit
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p13523>	tekstintutkimus
<http://www.yso.fi/onto/yso/p19406>	käsiteanalyysi
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
<http://www.yso.fi/onto/yso/p11905>	konteksti
<http://www.yso.fi/onto/yso/p23891>	kontekstuaalisuus
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
<http://www.yso.fi/onto/yso/p21386>	metateoriat
