<http://www.yso.fi/onto/yso/p7418>	kotityö
<http://www.yso.fi/onto/yso/p9254>	ansiotyö
<http://www.yso.fi/onto/yso/p9255>	palkkatyö
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p928>	sukupuoliroolit
<http://www.yso.fi/onto/yso/p3367>	ajankäyttö
<http://www.yso.fi/onto/yso/p9115>	aikatutkimus
<http://www.yso.fi/onto/yso/p4268>	työnjako
<http://www.yso.fi/onto/yso/p4266>	työn organisointi
<http://www.yso.fi/onto/yso/p1130>	työaika
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
<http://www.yso.fi/onto/yso/p4363>	perheet (ryhmät)
<http://www.yso.fi/onto/yso/p24273>	puolisot
<http://www.yso.fi/onto/yso/p10868>	aviopuolisot
<http://www.yso.fi/onto/yso/p14031>	avopuolisot
<http://www.yso.fi/onto/yso/p6362>	miehen asema
<http://www.yso.fi/onto/yso/p6365>	naisen asema
<http://www.yso.fi/onto/yso/p23368>	luokkateoriat
<http://www.yso.fi/onto/yso/p6310>	yhteiskuntaluokat
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p19352>	resurssit
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p9513>	väestötiede
