<http://www.yso.fi/onto/yso/p6160>	avioero
<http://www.yso.fi/onto/yso/p6752>	syyt
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p8997>	sosiaalinen tuki
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p4356>	elämänmuutokset
<http://www.yso.fi/onto/yso/p24639>	kertomukset
<http://www.yso.fi/onto/yso/p15019>	naistenlehdet
<http://www.yso.fi/onto/yso/p2797>	parisuhde
<http://www.yso.fi/onto/yso/p38418>	eroaminen tehtävästä
<http://www.yso.fi/onto/yso/p38317>	eroaminen (ihmissuhteet)
<http://www.yso.fi/onto/yso/p38444>	eroaminen (yhteisöstä)
<http://www.yso.fi/onto/yso/p4363>	perheet
<http://www.yso.fi/onto/yso/p3835>	yhteisöt
<http://www.yso.fi/onto/yso/p2209>	sukupolvet
<http://www.yso.fi/onto/yso/p4357>	elämänhallinta
<http://www.yso.fi/onto/yso/p6895>	kerronta
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p17923>	sosiaalinen konstruktivismi
<http://www.yso.fi/onto/yso/p10442>	pohjalaisuus
<http://www.yso.fi/onto/yso/p94344>	Pohjanmaa
