<http://www.yso.fi/onto/yso/p18528>	kriisiviestintä
<http://www.yso.fi/onto/yso/p1304>	festivaalit
<http://www.yso.fi/onto/yso/p3615>	maine
<http://www.yso.fi/onto/yso/p11167>	imago
<http://www.yso.fi/onto/yso/p15854>	legitimiteetti
<http://www.yso.fi/onto/yso/p21088>	viestintästrategiat
<http://www.yso.fi/onto/yso/p23085>	eettisyys
<http://www.yso.fi/onto/yso/p5604>	yhteiskuntavastuu
<http://www.yso.fi/onto/yso/p35>	tiedotus
<http://www.yso.fi/onto/yso/p7349>	turvallisuus
<http://www.yso.fi/onto/yso/p3422>	onnettomuudet
