<http://www.yso.fi/onto/yso/p3111>	jooga
<http://www.yso.fi/onto/yso/p4670>	katolisuus
<http://www.yso.fi/onto/yso/p4006>	ruumiillisuus
<http://www.yso.fi/onto/yso/p215>	maailmankatsomus
<http://www.yso.fi/onto/yso/p15308>	henkisyys
<http://www.yso.fi/onto/yso/p1560>	antropologia
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p1251>	rituaalit
<http://www.yso.fi/onto/yso/p7009>	merkitykset (tieto)
<http://www.yso.fi/onto/yso/p126438>	Buenos Aires
