<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p4363>	perheet (ryhmät)
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p3904>	omistus
<http://www.yso.fi/onto/yso/p20830>	omistajuus
<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p3904>	omistus
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p8014>	työllistäminen
<http://www.yso.fi/onto/yso/p7009>	merkitykset (tieto)
<http://www.yso.fi/onto/yso/p9647>	yksityisomistus
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p94426>	Suomi
