<http://www.yso.fi/onto/yso/p1925>	nuorisotyö
<http://www.yso.fi/onto/yso/p3765>	nuorisopolitiikka
<http://www.yso.fi/onto/yso/p10611>	nuorisotutkimus
<http://www.yso.fi/onto/yso/p10893>	nuorisotyöntekijät
<http://www.yso.fi/onto/yso/p12894>	ammatti-identiteetti
<http://www.yso.fi/onto/yso/p10140>	professionalismi
<http://www.yso.fi/onto/yso/p13158>	ammatillinen kehitys
<http://www.yso.fi/onto/yso/p2289>	lastensuojelu
<http://www.yso.fi/onto/yso/p5472>	sijaishuolto
<http://www.yso.fi/onto/yso/p14132>	koulukodit
<http://www.yso.fi/onto/yso/p4371>	nuorisopsykiatria
<http://www.yso.fi/onto/yso/p10574>	ongelmanuoret
<http://www.yso.fi/onto/yso/p10573>	käyttäytymishäiriöt
<http://www.yso.fi/onto/yso/p20629>	mielenterveysongelmat
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p5302>	oppimisvaikeudet
<http://www.yso.fi/onto/yso/p8291>	päihdeongelmat
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
