<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p4328>	hallinto
<http://www.yso.fi/onto/yso/p8710>	imperialismi
<http://www.yso.fi/onto/yso/p13646>	orientalismi
<http://www.yso.fi/onto/yso/p14037>	viktoriaaninen aika
<http://www.yso.fi/onto/yso/p104990>	Iso-Britannia
<http://www.yso.fi/onto/yso/p105179>	Itä-Aasia
<http://www.yso.fi/onto/yso/p105023>	Japani
<http://www.yso.fi/onto/yso/p112148>	Kaukoitä
<http://www.yso.fi/onto/yso/p104984>	Kiina
<http://www.yso.fi/onto/yso/p109302>	Korea
