<http://www.yso.fi/onto/yso/p9791>	varkaus
<http://www.yso.fi/onto/yso/p170>	varallisuusrikokset
<http://www.yso.fi/onto/yso/p11534>	taidekauppa
<http://www.yso.fi/onto/yso/p19288>	taidekokoelmat
<http://www.yso.fi/onto/yso/p11490>	rikollisuus
<http://www.yso.fi/onto/yso/p24422>	taidemaku
<http://www.yso.fi/onto/yso/p8144>	taidemuseot
<http://www.yso.fi/onto/yso/p16021>	taidemaalarit
<http://www.yso.fi/onto/yso/p7530>	kuvataiteilijat
<http://www.yso.fi/onto/yso/p2739>	kuvataide
<http://www.yso.fi/onto/yso/p18218>	taideteoriat
