<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p20198>	visuaalisuus
<http://www.yso.fi/onto/yso/p10274>	visuaalinen kulttuuri
<http://www.yso.fi/onto/yso/p8802>	havainnointi
<http://www.yso.fi/onto/yso/p5293>	havaitseminen
<http://www.yso.fi/onto/yso/p1855>	sanaton viestintä
<http://www.yso.fi/onto/yso/p1149>	kuvat
<http://www.yso.fi/onto/yso/p36>	viestintä
<http://www.yso.fi/onto/yso/p14048>	medialukutaito
<http://www.yso.fi/onto/yso/p1161>	journalismi
<http://www.yso.fi/onto/yso/p16782>	julkinen taide
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p16870>	kuva-analyysi
<http://www.yso.fi/onto/yso/p13734>	lehtikuvat
<http://www.yso.fi/onto/yso/p6173>	kriisit
