<http://www.yso.fi/onto/yso/p5570>	verkostot
<http://www.yso.fi/onto/yso/p20000>	verkostoituminen
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p8998>	sosiaalinen pääoma
<http://www.yso.fi/onto/yso/p16955>	eriytyminen
<http://www.yso.fi/onto/yso/p3478>	eriarvoisuus
<http://www.yso.fi/onto/yso/p4881>	paikallisuus
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p1393>	järjestöt
<http://www.yso.fi/onto/yso/p4785>	järjestötoiminta
<http://www.yso.fi/onto/yso/p94260>	Laukaa
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p189893>	Pabrade
<http://www.yso.fi/onto/yso/p94268>	Liettua
